year,name,author,language
1876, Siegfried, Richard Wagner,DE
1876, Götterdämmerung, Richard Wagner,DE
1877, L'étoile, Emmanuel Chabrier,FR
1879, Eugene Onegin, Tchaikovsky,RU
1843,Don Pasquale, Donizetti,IT
1842,Nabucco, Verdi,IT
1842,Rienzi, Richard Wagner,DE
1846,La damnation de Faust,Berlioz,FR
1859,Un ballo in maschera,Verdi,IT
1867,Don Carlos,Verdi,DE
1869,Das Rheingold, Richard Wagner,DE
1886,Khonvanschina,Mussorgsky,RU
1887,Otello,Verdi,IT
1892,Iolanta, Tchaikovsky,RU
1893,Manon Lescaut,Puccini,IT
1898,Sadko,Rimsky-Korsakov,RU
1899,Cendrillon,Massenet,FR
1893,Hansel und Gretel,Humperdinck,DE
1890,Cavalleria Rusticana,Pietro Mascgani ,IT
1897,Konigskinder,Humperdinck,DE
1890,Knyaz' Igor,Borodin,RU
1892,Werther,Massenet,FR
1881,Les contes d'Hoffmann,Offenbach,FR
1900,Tosca,Puccini,IT
1903,Elektra,Richard Strauss,DE
