party,partyLabel,colorLabel
http://www.wikidata.org/entity/Q16970239,4 Freedoms Party,cobalt blue
http://www.wikidata.org/entity/Q4656076,A Connecticut Party,light orange
http://www.wikidata.org/entity/Q2746868,Abertzaleen Batasuna,burgundy
http://www.wikidata.org/entity/Q24083585,Abolish the Welsh Assembly Party,brighter dark red
http://www.wikidata.org/entity/Q4672493,Accessibility without Exclusion,steel blue
http://www.wikidata.org/entity/Q3088445,Action Front for Renewal and Development,crimson
http://www.wikidata.org/entity/Q776352,African Party for the Independence of Guinea and Cape Verde,red
http://www.wikidata.org/entity/Q3366175,Afrikaner Party,Bondi blue
http://www.wikidata.org/entity/Q388064,Afro-Shirazi Party,red
http://www.wikidata.org/entity/Q12076620,Agrarian Party of Ukraine,green
http://www.wikidata.org/entity/Q42715155,Agreement,Blue (CMYK) (pigment blue)
http://www.wikidata.org/entity/Q4693911,Agricultural Party,sandy brown
http://www.wikidata.org/entity/Q1800818,Al Wefaq,blue
http://www.wikidata.org/entity/Q3269564,All Ceylon Tamil Congress,yellow
http://www.wikidata.org/entity/Q48733388,All India Mahila Empowerment Party,lithopone white
http://www.wikidata.org/entity/Q48733388,All India Mahila Empowerment Party,white
http://www.wikidata.org/entity/Q4728969,All India Minorities Front,cyan
http://www.wikidata.org/entity/Q912899,All India Trinamool Congress,green
http://www.wikidata.org/entity/Q4729085,All Mon Region Democracy Party,crimson
http://www.wikidata.org/entity/Q4729243,All Party Alliance,fallow
http://www.wikidata.org/entity/Q4729243,All Party Alliance,camel
http://www.wikidata.org/entity/Q385749,All People's Congress,red
http://www.wikidata.org/entity/Q4729271,All Progressives Grand Alliance,scarlet
http://www.wikidata.org/entity/Q4729271,All Progressives Grand Alliance,Q12901869
http://www.wikidata.org/entity/Q2515030,Alliance Party,cornflower blue
http://www.wikidata.org/entity/Q3625443,Alliance for Change,light orange
http://www.wikidata.org/entity/Q178216,Alliance for Italy,baby blue
http://www.wikidata.org/entity/Q1265971,Alliance for the Future of Kosovo,ice blue
http://www.wikidata.org/entity/Q4732427,Alliance for the Republic,purple
http://www.wikidata.org/entity/Q2838226,Alliance for the Republic,sepia
http://www.wikidata.org/entity/Q200599,Alliance of Free Democrats,Maya Blue
http://www.wikidata.org/entity/Q2217942,Alliance of the Forces of Progress,navy blue
http://www.wikidata.org/entity/Q18618872,Alternative Faso,light orange
http://www.wikidata.org/entity/Q255650,Alternative Left,carmine
http://www.wikidata.org/entity/Q4739845,Amani Alliance,yellow
http://www.wikidata.org/entity/Q465904,American Nazi Party,brown
http://www.wikidata.org/entity/Q24263796,American Solidarity Party,orange
http://www.wikidata.org/entity/Q16828185,An Independence from Europe,purple
http://www.wikidata.org/entity/Q4750985,Anakpawis,crimson
http://www.wikidata.org/entity/Q9010239,Andalusian Left,red
http://www.wikidata.org/entity/Q2662810,Andorra for Change,navy blue
http://www.wikidata.org/entity/Q4763973,Anguilla Democratic Party,gold
http://www.wikidata.org/entity/Q4765028,Animals First,yellow
http://www.wikidata.org/entity/Q4783206,Arab Liberation Movement,bronze
http://www.wikidata.org/entity/Q4783800,Arakan League for Democracy,Rosso corsa
http://www.wikidata.org/entity/Q24084539,Aranese Democratic Union,blue
http://www.wikidata.org/entity/Q17331110,Article 50,light orange
http://www.wikidata.org/entity/Q28464804,Association for Defence of Revolution Values,light orange
http://www.wikidata.org/entity/Q4809542,Association for the Advancement of Civil Rights,cobalt blue
http://www.wikidata.org/entity/Q3307624,Asturian Left,Mandarin orange
http://www.wikidata.org/entity/Q24582,Ata-Zhurt,blue
http://www.wikidata.org/entity/Q4823991,Australian Christians,Mandarin orange
http://www.wikidata.org/entity/Q17001022,Australian People's Party,burgundy
http://www.wikidata.org/entity/Q2735114,Authentic Radical Liberal Party,blue
http://www.wikidata.org/entity/Q4829781,Awami Workers Party,crimson
http://www.wikidata.org/entity/Q803681,Bahujan Samaj Party,blue
http://www.wikidata.org/entity/Q3130105,Balochistan National Party,yellow
http://www.wikidata.org/entity/Q28169518,Balochistan National Party Awami,salmon
http://www.wikidata.org/entity/Q8846575,Basque Socialist Party,dark red
http://www.wikidata.org/entity/Q22079661,Beehive Democratic Society Party,light orange
http://www.wikidata.org/entity/Q815276,Belarusian Social Democratic Party (Assembly),blood red
http://www.wikidata.org/entity/Q4882296,Belfast Labour Party,indian red
http://www.wikidata.org/entity/Q21996806,Belize Progressive Party,green
http://www.wikidata.org/entity/Q23941074,Bharath Dharma Jana Sena,light grey
http://www.wikidata.org/entity/Q10230,Bharatiya Janata Party,saffron
http://www.wikidata.org/entity/Q3595130,Bharatiya Lok Dal,blue
http://www.wikidata.org/entity/Q46885851,Bharatiya Tribal Party,red
http://www.wikidata.org/entity/Q4901292,Bharipa Bahujan Mahasangh,blue
http://www.wikidata.org/entity/Q2035999,Bhutan Peace and Prosperity Party,fulvous
http://www.wikidata.org/entity/Q4313243,Bhutan Peoples' Party,red
http://www.wikidata.org/entity/Q4907071,Bihar People's Party,red
http://www.wikidata.org/entity/Q859993,Biju Janata Dal,dark green
http://www.wikidata.org/entity/Q4915466,Biplobi Bangla Congress,red
http://www.wikidata.org/entity/Q6682525,Blue Party,blue
http://www.wikidata.org/entity/Q1450907,Bolivian Socialist Falange,cobalt blue
http://www.wikidata.org/entity/Q4940056,Bolshevik Party of India,red
http://www.wikidata.org/entity/Q4940058,"Bolshevik–Leninist Party of India, Ceylon and Burma",red
http://www.wikidata.org/entity/Q4947793,Boston Bypass Independents,yellow
http://www.wikidata.org/entity/Q15980784,Brazilian Labour Party,Rosso corsa
http://www.wikidata.org/entity/Q2054789,Brazilian Socialist Party,amber
http://www.wikidata.org/entity/Q4961800,Brentwood and Ongar Independent Conservative Party,white
http://www.wikidata.org/entity/Q4961800,Brentwood and Ongar Independent Conservative Party,lithopone white
http://www.wikidata.org/entity/Q161269,British National Party,dark blue
http://www.wikidata.org/entity/Q4970528,British National Party,navy blue
http://www.wikidata.org/entity/Q920153,British Socialist Party,red
